id,name,latitude,longitude,2015,2016,2017,2018,2019,2020
1,"Sacramento, CA",38.5667,-121.4683,5.9,5.3,4.6,3.8,3.7,8.7
2,"San Francisco, CA",37.7562,-122.443,4.3,3.8,3.4,2.8,2.7,8.1
3,"San Diego, CA",32.8312,-117.1225,5.2,4.7,4,3.4,3.3,9.2
4,"Los Angeles, CA",34.1139,-118.4068,6.2,5,3.6,3.3,4.2,11.8
5,"Phoenix, AZ",33.5722,-112.0891,5.2,4.7,4.3,4.2,4.2,7.4
6,"Tucson, AZ",32.1545,-110.8782,5.5,5,4.6,4.4,4.5,7.7
7,"Carson City, NV",39.1512,-119.7474,7.3,6.2,5,4.6,3.9,8.2
9,"Las Vegas, NV",36.2333,-115.2654,6.9,5.9,5.2,4.6,4.1,14.7
8,"Reno, NV",39.5497,-119.8483,6.3,5.1,4.2,3.5,3.2,7.8
10,"Logan, UT",41.74,-111.8419,3,3,2.6,2.5,2.1,3
11,"Provo, UT",40.2457,-111.6457,3.2,3,2.8,2.7,2.3,3.7
12,"Ogden, UT",41.2278,-111.9682,3.6,3.3,3.2,3,2.6,4.4
13,"Salt Lake City, UT",40.7777,-111.9306,3.4,3.1,2.6,2.8,2.5,5.1
14,"Albuquerque, NM",35.1053,-106.6464,6.2,6.1,5.6,4.7,4.7,8.2
16,"Las Cruces, NM",32.3265,-106.7892,7.4,7.2,6.7,5.7,5.9,8.3
15,"Santa Fe, NM",35.6619,-105.9819,5.4,5.3,5,4.1,4.2,8.3
17,"Boulder, CO",40.0249,-105.2523,3.1,2.6,2.2,2.6,2.3,6.2
18,"Denver, CO",39.7621,-104.8759,3.6,3,2.5,2.9,2.6,7.5
19,"Colorado Springs, CO",38.8674,-104.7606,4.4,3.6,3,3.6,3.2,7.3
21,"Dallas, TX",32.7936,-96.7662,4.1,3.9,3.7,3.6,3.3,7.1
22,"Houston, TX",29.7863,-95.3889,4.6,5.3,5,4.4,3.8,8.6
20,"San Antonio, TX",29.4658,-98.5253,3.8,3.8,3.5,3.3,3.1,7.3
23,"Oklahoma City, OK",35.4676,-97.5136,3.8,4,3.6,3,2.9,6.1
24,"Tulsa, OK",36.1284,-95.9042,4.3,4.8,4.2,3.3,3.1,6.4
